epoch,step,train_loss
49,49,0.00979152787476778
99,99,0.001291486551053822
149,149,0.0005312022403813899
199,199,0.00025129690766334534
249,249,0.00019554141908884048
299,299,0.00016080155910458416
349,349,0.00019963430531788617
399,399,0.00011989186896244064
